Price,Close,High,Low,Open,Volume
Ticker,SBER.ME,SBER.ME,SBER.ME,SBER.ME,SBER.ME
Date,,,,,
2020-05-14,158.84982299804688,162.64368968250125,158.58192104512537,161.17454100771596,76682140
2020-05-15,158.8843994140625,161.41651859341673,158.43500825942644,160.854789540182,63148140
2020-05-18,163.27456665039062,164.19927415553707,160.22391803286177,161.0276371266267,77545890
2020-05-19,163.33505249023438,166.40298865319392,161.4338005483323,164.5190113493729,105324020
2020-05-20,167.6387939453125,167.6387939453125,161.2609581521933,162.89430811206785,93343040
2020-05-21,166.2733612060547,169.6524125150516,165.49558046291236,167.65609717913836,79541950
2020-05-22,163.24864196777344,165.27953300753248,162.9893905046109,165.03755618408218,57013570
2020-05-25,165.0634765625,165.33137852452813,163.16222449598826,163.87086711940967,23140090
2020-05-26,167.65609741210938,169.4709367309601,166.02274729984273,166.79189072441807,79312200
2020-05-27,171.5536651611328,171.95120604041549,167.0943686658722,167.65609773926863,116074210
2020-05-28,177.16236877441406,177.16236877441406,171.45859943185593,172.2450306726983,117179670
2020-05-29,173.2734375,176.64383824151057,172.1240410453958,176.39322410914073,106653140
2020-06-01,176.00433349609375,177.9660731416337,174.40554588262995,175.5203798709958,65650670
2020-06-02,183.21180725097656,183.21180725097656,176.31544197221476,176.87717101220065,116868310
2020-06-03,191.42178344726562,191.78474867771303,184.57726798722683,184.94023321767423,145043730
2020-06-04,184.16244506835938,190.98967242796326,183.68712876659646,190.7044826469055,122497520
2020-06-05,189.34768676757812,190.06496669970372,184.5945500801713,185.91678523100106,88658860
2020-06-08,190.38473510742188,192.84771624457767,187.92174078351857,189.9526317654562,88826740
2020-06-09,187.7316131591797,191.75018212798517,186.1846890061668,191.10202711883082,69166250
2020-06-10,183.6698455810547,188.03409197463517,183.05626621970774,187.5328505152722,91895471
2020-06-11,180.05746459960938,180.77474452989946,178.03521097403234,180.54141822393643,70033443
2020-06-15,179.16732788085938,179.62535634753908,174.83764415207057,177.22286293058806,75997510
2020-06-16,179.54757690429688,183.37601939250044,179.34017573851898,181.7253814521977,66559130
2020-06-17,179.8759765625,181.78587911382246,178.83893119125926,180.2043793183127,56578871
2020-06-18,176.09939575195312,179.8414121923809,175.1919761167009,179.58214755563066,72275960
2020-06-19,178.89077758789062,180.79202959157192,176.7734739204558,177.54261731594835,75047210
2020-06-22,177.9747314453125,179.7117821800888,176.54014514610037,178.631523795757,57236845
2020-06-23,179.24510192871094,181.25870497739444,178.39816992912517,179.49571605152923,50426850
2020-06-25,177.55125427246094,177.80188158648122,173.48948563954454,173.70553730285656,68110011
2020-06-26,175.7537078857422,179.32288568565437,174.36233460668723,178.8648572012525,44624620
2020-06-29,177.3611297607422,177.5512562815479,173.70553926842717,173.70553926842717,40734573
2020-06-30,175.49444580078125,175.61543420090265,175.07097980698302,175.61543420090265,41447421
2020-07-02,181.13772583007812,181.56982917109764,176.54013995199173,177.16236981799963,73178160
2020-07-03,182.0797119140625,183.18589543622343,180.61920047972956,181.4834071805895,49567520
2020-07-06,185.2945556640625,187.35135857594284,184.0500959468003,184.0500959468003,54084018
2020-07-07,182.97848510742188,185.10443944049024,182.24391730757463,184.07603133395605,42942090
2020-07-08,181.35377502441406,183.4624282229302,180.878458718433,182.1747687237919,40752571
2020-07-09,180.56735229492188,182.95255806990338,179.84142182254678,182.08835135895745,43569621
2020-07-10,183.34144592285156,183.7303494868097,178.51918414664593,179.33152736685867,47794340
2020-07-13,181.526611328125,185.10442636828097,181.20684589736362,184.82787390781135,47961691
2020-07-14,180.51548767089844,180.7056141871521,177.76730369116163,180.08338434973044,63967621
2020-07-15,181.91549682617188,183.03896809000116,179.45250263957487,181.734007630495,47830805
2020-07-16,182.9352569580078,183.73033867867466,180.29943723044335,181.1895690231334,37236431
2020-07-17,182.1488494873047,183.36737090994146,181.36241822705674,182.94391806730619,34951851
